#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
11008723|2019-02-25 15:28:42|-29.7751|-71.8130|10.0|us|NEIC PDE|us|us2000jmvn|Mww|5.3|us|NEAR COAST OF CENTRAL CHILE
11183090|2020-02-11 13:50:02|-24.7868|-70.8845|36.2|us|NEIC PDE|us|us70007n2x|Mww|5.3|us|NEAR COAST OF NORTHERN CHILE
11329891|2020-10-25 21:17:14|-20.0028|-70.9648|10.0|us|NEIC PDE|us|us6000cd2g|Mww|5.3|us|NEAR COAST OF NORTHERN CHILE
4371107|2014-01-06 03:59:02|-20.7181|-70.6375|26.8|ISC|ISC|ISC|603928648|MW|5.2|GCMT|NEAR COAST OF NORTHERN CHILE
4374943|2014-03-03 03:17:45|-33.1224|-72.0788|13.1|ISC|ISC|ISC|604087265|MW|5.2|GCMT|OFF COAST OF CENTRAL CHILE
4598277|2014-03-04 10:56:31|-33.6732|-72.0825|7.8|ISC|ISC|ISC|606979244|mb|5.2|ISC|OFF COAST OF CENTRAL CHILE
4488888|2014-03-17 01:34:54|-19.9626|-70.9029|6.6|ISC|ISC|ISC|604162243|MW|5.2|GCMT|NEAR COAST OF NORTHERN CHILE
4489188|2014-03-22 13:14:55|-19.8099|-70.8687|4.6|ISC|ISC|ISC|606912786|Mww|5.2|NEIC|NEAR COAST OF NORTHERN CHILE
4489257|2014-03-23 22:04:26|-19.8027|-70.7900|19.7|ISC|ISC|ISC|609849569|MW|5.2|GCMT|NEAR COAST OF NORTHERN CHILE
4597328|2014-04-02 00:24:45|-19.9187|-70.7379|10.0|ISC|ISC|ISC|606913311|mb|5.2|NEIC|NEAR COAST OF NORTHERN CHILE
4597331|2014-04-02 01:20:59|-19.5963|-70.9299|21.5|ISC|ISC|ISC|604395808|mb|5.2|NEIC|NEAR COAST OF NORTHERN CHILE
